,id,ecole,groupe,equipe,nbPersEq
5,8,Polyvalente Sainte Thérèse,Poly - GR94,,2.0
7,10,Polyvalente Sainte Thérèse,Poly - GR94,,2.0
10,13,Polyvalente Sainte Thérèse,Poly - GR94,,2.0
16,19,Polyvalente Sainte Thérèse,Poly - GR94,,2.0
19,22,Polyvalente Sainte Thérèse,Poly - GR94,,2.0
20,23,Polyvalente Sainte Thérèse,Poly - GR94,,2.0
97,105,École d'éducation internationale de Laval,Inter - GR03,,
101,110,École d'éducation internationale de Laval,Inter - GR03,,
115,124,École d'éducation internationale de Laval,Inter - GR04,,4.0
119,128,École d'éducation internationale de Laval,Inter - GR04,,4.0
123,132,École d'éducation internationale de Laval,Inter - GR04,,5.0
126,135,École d'éducation internationale de Laval,Inter - GR04,,4.0
131,140,École d'éducation internationale de Laval,Inter - GR04,,4.0
132,141,École d'éducation internationale de Laval,Inter - GR04,,5.0
184,193,École d'éducation internationale de Laval,Inter - GR06,,5.0
197,206,École d'éducation internationale de Laval,Inter - GR06,,6.0
256,265,École d'éducation internationale de Laval,Inter - GR09,,6.0
257,266,École d'éducation internationale de Laval,Inter - GR09,,
